BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3284	3284	3284
Contact period end (sample #):	7999	7999	7999	3323	3323	3323
Contact period start time (s):	0.000000	0.000000	0.000000	3.284000	3.284000	3.284000
Contact period end time (s):	7.999000	7.999000	7.999000	3.323000	3.323000	3.323000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:13:51
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.207000	4.720934	2.495034	657.666092	0.254321	0.125938	2.605511
0.208000	4.680444	2.454262	655.321289	0.294119	0.285780	2.604928
0.209000	5.365546	3.096439	660.945587	-0.185221	-0.153039	-1.198019
0.210000	5.284969	2.976336	658.759537	0.574173	0.524968	4.032161
0.211000	5.083326	2.775572	657.197220	-0.384800	-0.312880	-1.988899
0.212000	5.083326	2.695798	657.664581	0.454192	0.485180	3.556891
0.213000	5.325055	2.735243	658.599991	-0.185221	-0.153039	-0.564545
0.214000	5.566785	2.975893	659.073822	0.454192	0.405604	3.239734
0.215000	5.486612	3.056110	658.916672	0.214229	0.206203	2.288682
0.216000	5.204392	2.534922	655.945053	0.254321	0.245992	2.446067
0.217000	5.083326	2.574809	655.789520	0.254321	0.245992	1.812339
0.218000	5.849005	3.136327	660.633011	-0.144837	-0.193056	-1.039814
0.219000	5.647765	2.975893	658.915161	0.454485	0.445621	4.032161
0.220000	5.284969	2.776015	656.571854	-0.464397	-0.392457	-3.097735
0.221000	5.365950	2.735243	656.727402	0.534082	0.645022	3.715096
0.222000	5.446122	2.775572	657.820038	0.055035	-0.033444	0.388238
0.223000	5.728343	3.056110	659.071503	0.254321	0.245992	2.288682
0.224000	5.647765	3.096439	659.070694	0.334503	0.245992	2.605839
0.225000	5.244883	2.695355	655.164246	0.214522	0.245992	2.762804
0.226000	5.003154	2.494593	654.695297	0.334503	0.365586	2.763790
0.227000	5.849005	3.296761	660.634613	-0.144837	-0.153039	-0.722749
0.228000	5.566785	3.056110	658.446228	0.574173	0.564986	4.825500
0.229000	5.204392	2.895677	655.946671	-0.384800	-0.352668	-2.781817
0.230000	5.164306	2.735243	655.631577	0.254321	0.365586	2.606168
0.231000	5.164306	2.735243	655.630783	0.014943	-0.073462	0.704484
