BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3302	3302	3302
Contact period end (sample #):	7999	7999	7999	3365	3365	3365
Contact period start time (s):	0.000000	0.000000	0.000000	3.302000	3.302000	3.302000
Contact period end time (s):	7.999000	7.999000	7.999000	3.365000	3.365000	3.365000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:05:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.090000	4.099374	1.905354	656.236465	0.284278	0.241159	2.576859
0.091000	4.179951	1.945241	656.391121	0.324369	0.161123	2.258882
0.092000	4.018393	1.824694	656.077713	0.483856	0.440559	3.211993
0.093000	4.098565	1.864581	656.701317	0.044607	-0.038277	0.517461
0.094000	4.341103	2.185892	658.109833	0.364168	0.400541	1.943293
0.095000	4.058479	1.824694	656.078514	-0.035283	0.001741	0.358017
0.096000	3.736578	1.463940	653.424324	0.563746	0.520365	4.480273
0.097000	4.139460	1.784364	655.920570	0.364168	0.241159	2.418326
0.098000	4.501852	2.145119	659.671425	0.324076	0.241159	2.418326
0.099000	3.816750	1.704590	654.361412	0.444058	0.400771	2.734572
0.100000	3.736578	1.544157	654.047913	0.324369	0.241159	1.783191
0.101000	4.018393	1.744478	656.546570	0.204680	0.161123	1.625316
0.102000	4.179546	1.904911	657.485359	0.284278	0.041529	1.309070
0.103000	4.099374	1.985128	656.860161	0.284278	0.320735	1.467602
0.104000	4.098565	1.945241	657.171951	0.204680	0.081547	1.149389
0.105000	3.534934	1.423610	652.953690	0.364168	0.400771	2.418655
0.106000	4.017989	1.865024	656.857582	0.324369	0.320735	2.418655
0.107000	4.541938	2.305996	660.607719	0.324369	0.281177	2.734572
0.108000	3.856836	1.623931	655.139755	0.404259	0.440559	3.209513
0.109000	3.494444	1.463940	652.484665	0.084406	0.041529	1.149626
0.110000	4.058479	1.945241	657.324120	0.284278	0.320735	1.465872
0.111000	4.219632	2.105232	658.888901	0.324369	0.081547	2.416757
0.112000	3.856836	1.865024	655.140556	0.244772	0.320735	1.468842
0.113000	3.816750	1.865024	655.138870	0.204680	0.201371	1.783612
0.114000	3.575021	1.544157	654.511978	0.444058	0.440559	2.733661
0.115000	3.856836	1.865024	655.763374	0.164882	0.121335	1.626718
0.116000	4.219632	2.266109	658.265228	0.364168	0.360753	1.942964
0.117000	3.897326	1.905354	656.544113	0.364168	0.400541	3.211336
0.118000	3.292801	1.424053	651.231674	0.284863	0.201371	2.259701
0.119000	4.017989	2.025458	657.011528	0.084406	0.121335	0.673773
0.120000	4.138652	2.306438	659.045341	0.523948	0.321195	4.003106
0.121000	3.534530	1.785250	654.827072	0.244186	0.320735	1.310708
0.122000	3.453953	1.785250	653.732834	0.324369	0.161123	1.942145
0.123000	3.856836	2.025458	656.855095	0.403966	0.360753	2.259211
0.124000	3.896922	2.146447	657.170280	0.284278	0.240700	1.942964
0.125000	3.615107	2.106560	655.452362	0.284278	0.320735	2.259211
0.126000	3.816750	2.066230	656.231491	0.084406	0.081317	0.990602
0.127000	3.413463	1.744920	654.511101	0.603838	0.440559	5.112108
0.128000	3.896922	2.306881	657.326530	0.084406	0.121105	0.358017
0.129000	4.017989	2.467315	658.731056	0.563746	0.480348	4.953247
0.130000	3.615107	2.106560	656.385368	-0.075374	0.081317	-0.273980
0.131000	3.292801	1.825580	652.636833	0.403966	0.320735	3.528073
0.132000	3.977499	2.387098	659.199112	0.324076	0.320735	1.624987
0.133000	4.058075	2.467315	659.511795	0.164589	0.200682	0.357619
0.134000	3.574616	2.187220	655.919716	0.483856	0.440330	3.528892
0.135000	3.413867	2.066673	655.136398	-0.035283	0.041299	-0.593196
0.136000	3.856432	2.227107	658.258728	0.563746	0.480348	4.953247
0.137000	3.816346	2.468200	657.481285	0.084406	0.041299	0.517790
0.138000	3.615107	2.387541	656.231506	0.843508	0.639960	6.221364
0.139000	3.574616	2.227107	656.543221	-0.075374	-0.038507	-1.701542
0.140000	3.372973	1.866795	654.667366	0.483856	0.400541	3.686277
0.141000	3.735365	2.468200	658.574623	0.084406	0.081088	0.834527
0.142000	3.937008	2.588304	658.886429	-0.035575	0.041299	-1.068795
0.143000	3.413059	2.147333	655.607834	0.523655	0.480348	4.161967
0.144000	3.413463	2.026786	654.979256	0.044315	0.121105	0.041938
0.145000	3.896518	2.548417	659.510124	0.803416	0.520365	5.904628
0.146000	3.614298	2.267880	656.856689	-0.154971	-0.078524	-1.385624
0.147000	3.453549	2.147333	655.449883	0.723819	0.600171	5.904207
0.148000	3.775451	2.468200	658.104080	0.004516	-0.038507	-1.226180
0.149000	3.654384	2.227550	657.632568	0.563746	0.480348	4.478306
0.150000	3.694875	2.428756	657.947647	0.004516	0.081088	-0.118255
0.151000	3.694470	2.508530	657.950142	0.004516	0.081317	0.199813
0.152000	3.332482	2.107446	654.823792	0.603838	0.560154	5.428845
0.153000	3.533317	2.187663	655.915543	-0.075374	-0.038507	-1.226509
0.154000	4.177929	2.869728	661.697083	0.843215	0.640189	6.062249
0.155000	3.653980	2.388426	657.166039	0.004516	0.041299	-0.274309
0.156000	3.251502	2.147776	654.354759	0.723819	0.600171	5.905447
0.157000	3.493635	2.308652	655.447388	-0.035283	-0.078295	-0.750581
0.158000	3.975882	2.588747	659.351280	0.444058	0.400541	2.892119
0.159000	3.694066	2.548860	657.635071	0.204680	0.320735	1.467602
0.160000	3.613894	2.508530	655.916336	-0.035283	0.001511	-0.116595
0.161000	3.331674	2.227993	654.822914	0.643636	0.599942	5.745092
0.162000	3.613490	2.348539	656.539215	-0.115173	-0.078295	-1.069706
0.163000	4.056863	2.910057	660.292542	0.723819	0.600171	5.745512
0.164000	3.734152	2.589190	657.791397	-0.115173	-0.118083	-1.226180
0.165000	3.210607	2.107889	653.415977	0.723819	0.679748	6.062832
0.166000	3.613490	2.429199	657.165230	0.044607	-0.038507	0.042100
0.167000	4.015968	2.869728	660.605072	0.284278	0.201371	2.100349
0.168000	3.572999	2.549746	656.701271	0.444058	0.400541	3.528401
0.169000	3.613490	2.509416	656.229729	0.164589	0.001511	0.992333
0.170000	3.532913	2.469086	656.385277	0.723819	0.679977	5.587799
0.171000	3.774238	2.710180	657.946045	-0.235154	-0.118313	-2.336256
0.172000	3.975478	2.950830	659.353783	0.843508	0.639960	6.855588
0.173000	3.734152	2.750067	658.103188	-0.195063	-0.197889	-1.859746
0.174000	3.330866	2.309095	654.196014	0.523948	0.520365	3.845230
0.175000	3.653171	2.629520	657.164436	0.164589	0.081547	1.467274
0.176000	4.096140	3.071376	660.292389	0.364168	0.241159	2.258882
0.177000	3.653171	2.549746	657.008888	0.284278	0.161123	1.942964
0.178000	3.370952	2.429642	654.822823	-0.035575	-0.038277	-0.116595
0.179000	3.813920	2.750509	657.162743	0.723819	0.639960	5.588618
0.180000	4.136227	3.071376	660.758125	-0.354550	-0.277925	-3.128683
0.181000	3.572191	2.830726	655.917946	0.684020	0.639960	5.269822
0.182000	3.693258	2.790839	656.382965	-0.115173	-0.197889	-1.068466
0.183000	3.612277	2.509858	656.694511	0.403966	0.400541	2.892286
0.184000	3.854007	2.871055	657.789719	0.244186	0.121335	1.624987
0.185000	4.015159	3.152036	658.572960	0.444058	0.440559	3.686606
0.186000	3.854007	3.031489	658.414116	0.404259	0.400541	3.209513
0.187000	3.370547	2.430084	653.571518	-0.035283	0.001511	-0.752387
0.188000	3.894093	2.911385	657.943657	0.603838	0.600171	4.954233
0.189000	4.336657	3.272583	661.540558	-0.154971	-0.158101	-1.859255
0.190000	3.772622	2.871498	656.542427	0.603838	0.600171	4.636838
0.191000	3.611468	2.751394	655.447388	-0.075374	-0.118313	-0.910262
0.192000	4.014755	2.951715	658.568054	0.404259	0.400771	3.528401
0.193000	4.054437	2.871498	658.102402	0.324076	0.161123	2.258882
0.194000	3.893688	3.032375	656.854309	0.364168	0.320735	2.893267
0.195000	4.175504	3.152479	659.509323	0.404259	0.400541	2.577187
