BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2453	2453	2453	2460	2460	2460
Contact period end (sample #):	4974	4974	4974	3686	3686	3686
Contact period start time (s):	2.453000	2.453000	2.453000	2.460000	2.460000	2.460000
Contact period end time (s):	4.974000	4.974000	4.974000	3.686000	3.686000	3.686000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:25:15
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.117000	0.908037	1.045494	2.780208	1.083434	0.783601	7.358139
0.118000	0.585731	0.764956	1.061400	0.005065	-0.134284	-0.724540
0.119000	0.102272	0.284098	-2.844989	0.683983	0.504395	4.348110
0.120000	0.303915	0.444089	-1.751557	0.204936	0.105364	0.860078
0.121000	0.867547	0.845173	3.247386	0.364716	0.185170	2.127446
0.122000	0.585731	0.764956	1.218545	0.644185	0.424359	4.347199
0.123000	0.505155	0.685182	0.434429	0.005065	-0.214089	-1.199810
0.124000	0.222935	0.363872	-1.127146	1.043635	0.783830	6.882869
0.125000	0.384492	0.444089	-0.502662	0.005065	-0.054248	-0.723629
0.126000	1.029104	1.045494	4.340818	0.924239	0.703795	7.358139
0.127000	0.505155	0.685182	0.749525	0.045156	-0.174072	-0.881925
0.128000	0.142762	0.364315	-2.219700	0.684276	0.623989	4.662297
0.129000	0.424578	0.525191	-0.659002	0.165137	-0.014230	-0.091136
0.130000	0.585731	0.725069	1.371609	0.164845	0.185170	0.701545
0.131000	0.666308	0.805286	1.998579	0.764166	0.544642	5.296682
0.132000	0.545645	0.725069	0.905865	0.084955	-0.014230	-0.249998
0.133000	0.102272	0.324428	-3.156067	0.764459	0.544642	5.774103
0.134000	0.424982	0.523863	0.122626	0.125046	-0.014000	-0.091465
0.135000	0.908037	0.925390	3.717051	0.884440	0.584430	6.248645
0.136000	0.424578	0.524748	-0.187567	-0.034734	-0.133824	-1.674843
0.137000	0.344002	0.524748	-1.751557	0.644185	0.424818	3.396238
0.138000	0.344002	0.363872	-1.596811	0.405100	0.385030	3.080067
0.139000	0.585731	0.604522	0.590689	0.165137	-0.014000	-0.566406
0.140000	0.827461	0.885503	2.154919	0.724368	0.464836	4.822070
0.141000	0.465068	0.644852	0.125113	0.125339	0.105824	0.543341
0.142000	0.263021	0.404202	-2.376040	0.964331	0.504854	6.723096
0.143000	0.505155	0.644852	-0.034519	0.005357	-0.053789	-0.724120
0.144000	0.666308	0.805286	2.622098	0.764459	0.504854	5.773774
0.145000	0.545241	0.725069	0.593981	0.165137	0.026017	-0.247939
0.146000	0.545645	0.764956	0.748720	0.284826	0.066035	2.126136
0.147000	0.263021	0.363872	-1.596811	0.525082	0.385259	3.555429
0.148000	0.585731	0.644852	0.904980	0.125339	0.026017	-0.724120
0.149000	0.908037	0.965720	2.935583	0.724368	0.425277	4.820992
0.150000	0.344002	0.444089	-1.438232	0.165430	0.026017	-0.090225
0.151000	0.142762	0.404202	-1.907897	0.924532	0.584889	7.041984
0.152000	0.505155	0.644852	1.058913	0.085540	0.026017	-0.725031
0.153000	0.505155	0.644409	0.278089	0.644770	0.385259	4.504912
0.154000	0.666308	0.845616	1.843753	0.285119	0.145841	1.810709
0.155000	0.747288	0.885503	1.842948	0.445192	0.305453	2.603228
0.156000	0.062186	0.244211	-2.532300	0.245320	0.106053	2.130255
0.157000	0.505155	0.644852	0.434429	0.324917	0.145841	1.019031
0.158000	0.988614	1.045494	3.091126	0.525082	0.305912	4.030462
0.159000	0.222935	0.484861	-1.591200	0.165723	0.066035	0.226021
0.160000	0.465068	0.644852	-0.501060	0.804843	0.385489	5.299324
0.161000	0.424578	0.525191	-0.033714	0.325503	0.225877	2.129597
0.162000	0.465068	0.644852	-0.659002	0.484990	0.225877	2.761433
0.163000	0.827461	0.885503	2.154919	0.405100	0.345471	2.284669
0.164000	0.545645	0.765399	1.531233	0.445192	0.225877	2.920386
0.165000	0.142762	0.364315	-2.531584	0.485283	0.265895	3.237452
0.166000	0.505155	0.565078	0.120944	0.245320	0.106053	0.859587
0.167000	0.746480	0.764956	2.309578	0.525082	0.226106	3.396238
0.168000	0.384492	0.725069	-1.437267	0.205229	0.186089	0.543669
0.169000	0.505559	0.685182	0.280576	0.285119	-0.013312	1.809071
0.170000	0.424578	0.404202	-0.972407	0.724660	0.545101	4.346708
0.171000	0.384492	0.444089	-0.501857	0.205522	0.146300	0.860078
0.172000	0.988614	1.126153	3.717211	0.485283	0.266124	3.077679
0.173000	0.545645	0.685182	0.592460	0.485283	0.385489	3.713633
0.174000	0.222935	0.323985	-2.063440	0.485283	0.226106	3.080321
0.175000	0.545645	0.644852	0.434429	0.365594	0.265895	1.492662
0.176000	0.585731	0.684739	1.217668	0.405393	0.146300	2.605778
0.177000	0.626221	0.845616	0.906750	0.525374	0.345930	2.605126
0.178000	0.666308	0.805286	1.530348	0.205522	0.106512	1.653999
0.179000	0.102272	0.243768	-3.001409	0.525374	0.345930	3.395656
0.180000	0.505155	0.644852	-0.190859	0.525082	0.306142	3.712814
0.181000	0.948527	0.925390	3.560871	0.405393	0.305912	3.238034
0.182000	0.424578	0.644852	-0.030422	0.684862	0.465524	4.506152
0.183000	0.344002	0.444089	-1.283326	0.365594	0.146530	1.179877
0.184000	0.344002	0.323985	-0.816067	0.525374	0.545331	4.030462
0.185000	0.585731	0.805286	1.218545	0.125632	-0.092888	-0.248758
0.186000	0.747288	0.925390	2.311179	0.605265	0.465524	4.030790
0.187000	0.625817	0.685182	0.593176	0.245906	0.146760	1.177397
0.188000	0.102272	0.243768	-3.157669	0.605265	0.385948	3.871346
0.189000	0.424174	0.604522	-0.346402	0.365887	0.226336	2.603557
0.190000	0.908037	0.885503	2.778358	0.485576	0.306142	3.238034
0.191000	0.424578	0.644852	-0.970000	0.645649	0.385948	3.554609
0.192000	0.384492	0.565078	-0.502662	-0.033856	-0.172465	-1.834195
0.193000	0.142762	0.323985	-1.907897	1.044806	0.745190	7.357648
0.194000	0.545241	0.725069	1.373203	-0.113453	-0.212482	-1.515399
0.195000	1.069190	1.166040	4.028298	0.844935	0.625366	5.299162
0.196000	0.303107	0.604522	-0.501857	0.086126	0.067183	0.385627
0.197000	0.102272	0.283655	-3.313212	0.685447	0.466213	4.664027
0.198000	0.746480	0.804843	2.153318	0.405686	0.306371	2.603320
0.199000	0.625817	0.684739	1.997694	0.325796	0.186777	1.493643
0.200000	0.625817	0.805286	0.593265	0.685447	0.625596	4.822560
0.201000	0.545241	0.725069	0.748720	-0.073654	-0.012852	-1.356775
0.202000	0.021696	0.203438	-3.626617	0.925117	0.705402	6.089530
0.203000	0.705990	0.764956	1.997774	-0.073654	-0.052641	-0.881834
0.204000	0.988614	1.045494	3.716414	0.805136	0.546019	5.140629
0.205000	0.142762	0.363872	-2.376032	0.245906	0.067183	1.178383
0.206000	0.222935	0.444089	-1.750752	0.525374	0.266354	3.078682
0.207000	0.625817	0.644852	0.902653	0.485576	0.266124	3.078919
0.208000	0.545241	0.644852	1.061408	0.166309	-0.052641	0.067160
0.209000	0.545645	0.764956	0.593981	0.885026	0.665384	6.090279
0.210000	0.505155	0.565078	0.748720	-0.033856	-0.092888	-0.723629
0.211000	-0.058881	0.243768	-4.094760	0.964916	0.705172	6.882869
0.212000	0.666308	0.764956	1.529463	-0.033856	-0.092888	-1.516219
0.213000	0.948527	0.885503	3.716414	0.805136	0.546019	6.090441
0.214000	0.222935	0.444974	-2.375324	0.245906	0.186318	0.703350
0.215000	0.424982	0.605408	-0.501857	0.205522	0.106512	0.543341
0.216000	0.505155	0.565078	0.434429	0.805136	0.625366	5.299162
0.217000	0.545645	0.644852	0.436836	0.006236	-0.053329	-0.566406
0.218000	0.827461	0.925833	2.154034	0.844935	0.665384	6.090441
0.219000	0.586135	0.725069	0.904980	0.125632	-0.132906	-0.407873
0.220000	0.062186	0.364315	-3.313212	0.924825	0.625366	7.516435
0.221000	0.867951	0.885503	3.402044	0.125632	-0.013312	-0.724120
0.222000	0.666308	0.804843	1.997694	0.804843	0.505542	5.299162
0.223000	0.344406	0.565078	-1.593607	0.285704	0.106512	0.861554
0.224000	0.626221	0.805286	0.592460	0.205522	0.106512	0.542521
0.225000	0.303915	0.364315	-1.127951	0.525667	0.345930	4.030462
0.226000	0.585731	0.684739	1.842948	0.205522	0.146300	0.067979
0.227000	0.867951	0.925390	3.248271	0.884733	0.585578	6.566622
0.228000	0.424578	0.524748	-0.031227	0.205522	0.146530	0.543669
0.229000	0.344002	0.444089	-1.750752	0.804843	0.585578	5.930997
0.230000	0.626221	0.764956	2.777641	0.125632	0.026476	0.385956
0.231000	0.545241	0.684739	0.748720	0.525374	0.306142	3.396567
0.232000	0.465068	0.684739	-0.497857	0.365594	0.186318	1.652834
0.233000	0.626221	0.805286	1.374088	0.325503	0.186089	2.286163
0.234000	0.102272	0.243768	-2.375155	0.525374	0.266124	3.713304
0.235000	0.545241	0.725069	0.748720	0.086126	0.066265	-0.249669
0.236000	0.747288	0.845173	1.997774	0.805136	0.425966	5.775014
0.237000	0.344002	0.604522	-1.593607	0.285704	0.186318	0.861317
0.238000	0.505559	0.725069	-0.658922	0.525374	0.266124	3.871929
0.239000	0.505155	0.604522	0.589973	0.445485	0.385489	2.763001
0.240000	0.545241	0.684739	0.592460	0.325503	0.146530	2.445607
0.241000	0.746480	0.965720	1.687573	0.445192	0.266124	2.760942
0.242000	0.424578	0.604522	0.593176	0.365302	0.226106	1.809071
0.243000	0.222935	0.323542	-1.907897	0.605265	0.346160	4.348438
0.244000	0.786566	0.845173	2.777641	0.165723	0.146300	0.225692
0.245000	0.625817	0.724626	1.686608	0.605265	0.345930	5.457856
0.246000	0.505155	0.644409	0.124316	0.405393	0.305912	1.813189
0.247000	0.545241	0.764956	0.748720	0.445485	0.186318	2.286163
0.248000	0.222935	0.283655	-0.971691	0.525082	0.385489	3.555100
0.249000	0.585731	0.724626	0.434429	0.365302	0.266124	2.761271
0.250000	0.988614	1.206370	4.343305	0.445485	0.226106	2.127959
0.251000	0.384492	0.444089	-0.813740	0.445192	0.305912	3.236632
0.252000	0.142762	0.363872	-2.845866	0.405686	0.186318	2.603228
0.253000	0.827461	0.724626	2.778438	0.245320	0.225877	1.176653
0.254000	0.585327	0.684739	0.437721	0.405393	0.146300	2.286163
0.255000	0.585731	0.805286	0.594778	0.565173	0.425507	2.920294
0.256000	0.585731	0.764956	0.748720	0.485283	0.226106	2.921205
0.257000	-0.058477	0.163551	-3.469472	0.525082	0.385489	3.237123
0.258000	0.585731	0.764956	1.374088	0.445192	0.266124	3.237452
0.259000	0.988614	1.045494	4.029819	0.445485	0.226106	2.445024
0.260000	0.223743	0.404202	-2.064157	0.644770	0.465065	4.188994
0.261000	0.303915	0.404202	-1.595377	0.205522	-0.013541	0.544160
0.262000	0.625817	0.644409	1.215173	0.525082	0.465295	3.396896
0.263000	0.626221	0.765399	1.218545	0.085540	-0.133365	-0.088824
0.264000	0.666308	0.805286	1.374805	0.724660	0.544872	4.030790
0.265000	0.464664	0.684739	-0.033714	0.245320	0.106053	1.969426
0.266000	-0.059285	0.163108	-3.626617	0.684569	0.465295	4.504912
0.267000	0.827461	0.885060	2.621293	0.445192	0.305453	2.762672
0.268000	0.988209	1.005164	3.716414	0.285119	0.106053	1.812531
0.269000	0.384492	0.604522	-0.813660	0.644770	0.505083	4.188504
0.270000	0.464664	0.563750	-0.033634	-0.074240	-0.212941	-1.199972
0.271000	0.424578	0.404202	-0.190859	0.804258	0.624907	5.614589
0.272000	0.746480	0.845173	2.157238	0.005943	-0.093577	-0.882745
0.273000	0.908037	1.126153	3.561676	0.644770	0.465295	3.871018
0.274000	0.384088	0.403759	-0.815262	0.365302	0.186089	2.289041
0.275000	0.102676	0.323985	-2.687844	0.525082	0.345471	3.554281
0.276000	0.867547	0.885060	3.560074	0.525082	0.425277	3.554609
0.277000	0.746480	0.805286	2.311179	0.085540	-0.053559	-0.249998
0.278000	0.505155	0.725069	-0.031227	0.924532	0.624907	6.882286
0.279000	0.464664	0.604522	-0.189974	-0.074240	-0.133365	-1.674751
0.280000	0.182444	0.323985	-1.595377	0.884440	0.664695	5.615570
0.281000	0.908037	0.965720	2.780208	0.125632	-0.053559	-0.405652
0.282000	0.746480	0.804843	2.154839	0.564588	0.465295	3.396076
0.283000	0.222935	0.364315	-1.907897	0.445192	0.225877	3.078919
0.284000	0.142762	0.364315	-3.000532	0.285119	0.106053	1.496123
0.285000	0.827461	0.724626	2.777641	0.684569	0.545101	5.299981
0.286000	0.666308	0.845173	1.374805	0.005357	-0.173383	-1.042097
